title,day_posted,link,price,location,condition,make / manufacturer,model name / number
Top Iphone Buyer We Buy IPhone 12 Pro Max Iphone 11 Pro Max Iphone XS,Aug 21,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7524152222.html,$0, (Chelsea),,,
Top Iphone Buyer We Buy IPhone 12 Pro Max Iphone 11 Pro Max Iphone XS,Aug 20,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7523675715.html,$0, (Union Square),,,
Astro Gaming - A10 Gen 2 Wired Stereo Over-the-Ear Gaming Headset for,Aug 20,https://newyork.craigslist.org/mnh/ele/d/new-york-astro-gaming-a10-gen-wired/7523655130.html,$45, (Chelsea),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 19,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7523570800.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 19,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7523571066.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 19,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7523545129.html,$0, (Union Square),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 19,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7523539925.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 19,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7523540048.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 19,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7523497068.html,"$4,000", (Midtown),,,
INSTANT CASH FOR iPHONES GREEN BLUE GOLD 12 IPHONE 13 PRO MAX TOP $!,Aug 19,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-iphones-green/7523334427.html,"$9,999", (rosedale),,,
INSTANT CASH FOR iPADS AIR 5TH  GEN iPAD 9TH GEN MINI PRO 11 PRO 12.9,Aug 19,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-ipads-air-5th/7523333560.html,"$9,999", (rosedale),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 19,https://newyork.craigslist.org/brk/wad/d/rosedale-google-nest-arlo-dyson-ps5/7523333810.html,"$8,888,888", (rosedale),,,
CASH FOR GIFT CARDS APPLE VISA GIFT CARD TOP !,Aug 19,https://newyork.craigslist.org/que/wad/d/south-ozone-park-cash-for-gift-cards/7523333995.html,$999, (rosedale),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 19,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7523330868.html,$999, (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 19,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7523325873.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 19,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7523295006.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 19,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7523294488.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 18,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7522939013.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 18,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7522881164.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 18,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7522881301.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 17,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7522655696.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 17,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7522655059.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 17,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7522655313.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 17,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7522655512.html,"$9,999", (404 utica ave 917200111ZERO),,,
WE BUY ALL LUXURY GOODS - LOUIS VUITTON - CHANEL - GUCCI - VERSACE,Aug 17,https://newyork.craigslist.org/que/wad/d/ridgewood-we-buy-all-luxury-goods-louis/7522437436.html,"$1,000", (queens),,,
CASH FOR GIFT CARDS APPLE VISA GIFT CARD TOP !,Aug 16,https://newyork.craigslist.org/que/wad/d/south-ozone-park-cash-for-gift-cards/7522145498.html,$999, (rosedale),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 16,https://newyork.craigslist.org/brk/wad/d/rosedale-google-nest-arlo-dyson-ps5/7522144140.html,"$8,888,888", (rosedale),,,
INSTANT CASH FOR iPHONES GREEN BLUE GOLD 12 IPHONE 13 PRO MAX TOP $!,Aug 16,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-iphones-green/7522144419.html,"$9,999", (rosedale),,,
INSTANT CASH FOR iPADS AIR 5TH  GEN iPAD 9TH GEN MINI PRO 11 PRO 12.9,Aug 16,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-ipads-air-5th/7522143426.html,"$9,999", (rosedale),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 16,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7522110930.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521985160.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7521983490.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521983547.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7521985103.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7522052216.html,"$3,000", (brooklyn),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 16,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7522040865.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 16,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7522032590.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521985237.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 16,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521983526.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 15,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7521755971.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 15,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521755658.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 15,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521755821.html,"$4,000", (Midtown),,,
WE BUY ALL APPLE PRODUCTS UP TO 90. NEED BULK. GET CASH ON THE SPOT!!,Aug 15,https://newyork.craigslist.org/brx/wad/d/bronx-we-buy-all-apple-products-up-to/7521579364.html,"$2,000", (Bronx),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Aug 14,https://newyork.craigslist.org/fct/wad/d/stamford-wanted-old-motorcycles/7521500930.html,"$9,999", (Call📞1(800)220-9683 🏍🏍🏍Website: wantedoldmotorcycles.com),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 14,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7521381975.html,$0, (bronx),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521313432.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521313700.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521250975.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521251367.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7521246056.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7521246500.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 14,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7521245834.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 13,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7521035053.html,$0, (bronx),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816360.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816360.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520876731.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520817245.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7520816840.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816947.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520817079.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816498.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520816640.html,"$3,000", (brooklyn),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7520816148.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 13,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520816213.html,"$4,000", (Midtown),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520572437.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 12,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7520572627.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520573053.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 12,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7520555957.html,$0, (Union Square),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 12,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7520322802.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 12,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7520322450.html,"$4,000", (Midtown),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 12,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7520479507.html,$0, (bronx),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520462563.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520462861.html,$999, (404 utica ave 917200111ZERO),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 12,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7520463164.html,$0, (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7520323025.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 11,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7520218087.html,$0, (bronx),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 11,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7520179778.html,$0, (Chelsea),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520079333.html,"$9,999", (404 utica ave 917200111ZERO),,,
WE BUY ALL APPLE PRODUCTS UP TO 90. NEED BULK. GET CASH ON THE SPOT!!,Aug 11,https://newyork.craigslist.org/brx/wad/d/bronx-we-buy-all-apple-products-up-to/7520035013.html,"$2,000", (Bronx),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7520027956.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7520023450.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 11,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7520023290.html,$0, (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7519877386.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7519804186.html,"$4,000", (Midtown),,,
Top iphones Buyer We Buy Iphone 13 12 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/jsy/wad/d/newark-top-iphones-buyer-we-buy-iphone/7519804366.html,"$4,000", (new jersey),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7519803940.html,"$3,000", (brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 10,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7519755384.html,$0, (bronx),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Aug 10,https://newyork.craigslist.org/que/wad/d/astoria-wanted-old-motorcycles/7519743325.html,"$9,999", (Call📞1(800)220-9683 🏍🏍🏍Website: wantedoldmotorcycles.com),,,
BUYING OCULUS QUEST 2 PS5 NINTENDO OLED,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-oculus-quest-ps5/7519595611.html,$0, (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7519594139.html,$999, (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 10,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7519594258.html,"$9,999", (404 utica ave 917200111ZERO),,,
